,fname_1,fname_2,fname_3,fname_4,fname_5,fname_6,fname_7,fname_8,fname_9,fname_10
a person is cracking open some type of nuts ,Through Slime.wav,coffee Elite opening.wav,cat food.wav,Pecan nuts cracked open.wav,Eating a TicTac.wav,opening and swallowing pills.wav,Chewing_Fx.wav,Stones sound.wav,160170_Gravel_OWI.wav,Popcorn Foley.wav
birds all chirping at once producing high-pitched loud noise some are closer and louder background birds are quieter ,Birds_Singing.wav,Budgies Chirping 2.wav,20070628.casual.ambiance.wav,birdies.wav,Sk310308 chaffinch crow.wav,Birds over Brooklyn.wav,AMB_CityPark_Day_Seagull_People.wav,20110423_distant.cuckoo.wav,In an English Suburban Garden.wav,20080321.warbler.n.dogs.wav
someone is at first scraping and then banging a metal sheet in a room with an echo ,kettle-watergong2.wav,Ambience_hurricane tube_low freq.wav,contact_mic_on_satellite_dish09.wav,abandoned-ballroom-objects-wood-metal.wav,Hammering_Empty tank_large_CLOSE.wav,safe deposit box lock-unlock.wav,Gas Door.wav,Industrial fan.wav,150209 Trevor Webb Snooker.wav,Heavy Trash Hit.wav
a song consisting of electronic noises and piano sounds is playing ,satellite receiving busy signal.wav,WOF_slots5.wav,popibuuns.wav,dub1.wav,Folds.wav,Pad_1_w_melody.wav,sweep phrase.wav,dare16_eerie.wav,Welte Philharmonic Organ.wav,after nine.wav
a person is walking in forest at night time ,HeavySkirtMovement.wav,footsteps in woods.wav,3 persons walking slowly on grass noisy ambient 2.wav,20060129.scrub.04.wav,20060510.walk.scrub.wav,Cotton Flapping.wav,horse in woods 130213_00.wav,Prairie Sounds - walking on dirt road between grassy fields - raw.wav,Schritte_BootsTeppich.wav,FootstepsOnaDock.wav
people are talking while cars drive by and a plane is nearby ,Place Pigalle ambience Paris.wav,Traffic Karl-Liebknechtstrasse 111223.wav,20100806.stockholm.street.ambiance.wav,BangkokMarket.wav,indoors house ambient living room tone distant neighbours and traffic.wav,museum2.wav,Omni_Ambiental_ParkingLot.wav,Small italian village - Quite afternoon.wav,Parada de buses UCA_1.wav,indoors empty bar noisy ambient 2.wav
seagulls and other birds chirping as waves crash on the beach ,Day 10 10th July acclivity Seaside Town Soundscape.wav,AMB_CityPark_Day_Seagull_People.wav,PJcalls2.wav,20070628.casual.ambiance.wav,Pirita Storm waves06.12.2015.wav,Sea&amp;wind.wav,CFX-20130331-UK-DorsetHarbour02.wav,bebops_wind2.wav,Waves on to rocks.wav,waves recording.wav
a constant flapping sound with a woman speaking with a breathy voice ,ABC&#39;s (long version).wav,bkkairport01.wav,elvis_radio_announcer_no_static.wav,UoA_NuLibraryGlassLift_1202.wav,Street Interview.wav,Scratching Hair.wav,elvis_radio_announcer.wav,POTATO_CHIP_BAG OPEN.wav,Robot Overlords Monologue.wav,Kurla local train station Mumbai (2).wav
the church bell rings slow and louder for few times ,church bell_ljubljana.wav,Lisbon&#39;s church.wav,20060730.bells.wav,20090419.san.pedro.bells.wav,1167church_clock_striking_ten.wav,20101118.omnium.sanctorum.wav,Inside Servaas Church 01 100411.wav,Marble Church.wav,More Bells.wav,Carillon Servaas Church 100411.wav
firewood burning up and crackling on a windy day ,preparing fire at the picnic.wav,Pushing Trolley.wav,JBF Buggy Race 3.wav,20081231.fire.02.wav,Fire Crackle with Roaring Chimney.wav,envelope.wav,HandsOnConcreteWithDirt.wav,md1trk18.wav,"Wind in a tree, close to the foliage.wav",Fire crackling.wav
a dog is barking with a low sound ,stray_dogs.wav,harbour scene 2.wav,BIG DOGS_Continues Barking Labrador Retriever (SFX).wav,Rural nightfall atmos.wav,Pug Woof 3.wav,md1trk13.wav,Sheep bleating.wav,dog howl in woods.wav,vendedor_ambulante.wav,Synthetic rumble with rising tone.wav
a strong wind is blowing and it's raining while insects and crickets make noise ,August night.wav,"Insects in the herbs of the plain, thunders in background.wav",Cicada 1.wav,Cicada_00410.wav,Night in nature 2.wav,Crickets Night 2.wav,high park crickets.3.wav,070821_flsp_narrows.wav,AugustNightInCornField.wav,20110903_cycadas.n.wind.06.wav
an airplane engine roars to life and the rush of wind ,spaced.wav,Underground Parking Ambience.wav,WASHER machine 2.wav,Darkness Of the mind.wav,Tornado Left To  Right.wav,hillden.wav,"Helicopter interior, no rotor.wav",treinREM2.wav,airliner_ascend.wav,thunder wind 02.wav
ocean waves ebb and flow on a beach ,CP_Whipping_Wind_Storm_Medium01.wav,Sea&amp;wind.wav,Waves on to rocks.wav,waves recording.wav,Pirita Storm waves06.12.2015.wav,rbh Waves Lake Medium 01.wav,Waves near the dock.wav,"Train Passing, Close, Left to Right, B.wav",Sea Waves Splash the Beach on the Isle of Wight Coast.wav,synthwind.wav
the sound is the things used to repair the machine ,indoors WC bathroom ambient room tone.wav,CR SharktoGnawAmb.wav,radio_am_01.wav,Espresso Machine.wav,dremmel-noise2.wav,IRON_SLIDE.wav,WineGlass.wav,washing_machine_beginning.wav,ambiant hangar sound.wav,Bus_on_Freeway.wav
two dogs are loudly barking at each other ,harbour scene 2.wav,BIG DOGS_Continues Barking Labrador Retriever (SFX).wav,stray_dogs.wav,Rural nightfall atmos.wav,dog howl in woods.wav,20080321.warbler.n.dogs.wav,PJcalls2.wav,Pug Woof 3.wav,city pond ducks yell.wav,Ambience - Pig Pen - Day - 96kHzsssssss.wav
a lot of kids talking and yelling at a distance while a car drives by ,Next To School in Street Ambience.wav,firenze_kids_churchyard.wav,stenochscentre.wav,Zag.canon.eda.wav,Mall Ambient.wav,city park Tel Aviv.wav,glassfordstreet.wav,GORAZD_0075_Omori_Pachinko.wav,Amusement Park.wav,16 coffee shop ambience.wav
a mother is pouring coffee to her daughter ,Kids GardenHose 130723_02.wav,platform.wav,tedeschi.wav,Binnenrotte market live 100309.wav,glassfordstreet.wav,stanley_and_reese_bath_03.wav,noise pollution in a city park.wav,Clidren_joke_fun.wav,Twee dozen aardbeien.wav,city park Tel Aviv.wav
knocking a metal object twice then a wooden object once ,object falls on wood.wav,clang_metal_(hit).wav,Metal_Tin_Hit_bang.wav,clunks_in_water.wav,Hammering on Anvil.wav,Stiff Metal Wire.wav,metallic scratches an rubs.wav,3overtones.wav,trolley wheels foley-mg.wav,"Iron gate, street.wav"
a vehicle starting or an engine starting or running ,London Bus.wav,Fan noise.wav,Bus_on_Freeway.wav,Bus sound.wav,washing_machine_beginning.wav,Getting Into Car and Driving Away.wav,LR FRONT_INT CAR DOOR SHUT MVT cricket eve.wav,FP_Diesel_Tractor_Start_Run.wav,01451 war scene arrangement 1.wav,Machine.wav
rain is coming down hard while the wind is blowing in the background ,Heavy Rain tin roof.wav,Waterfalls_00212.wav,Rain 02 091012.wav,20130406_nasty.weather.09.wav,Stream 5 at Krka falls.wav,washing_out_5_gallon_bucket.wav,thunderstorm_4.wav,Wasserfall 2.wav,Rain In The City.wav,Wind in trees-force8-night.wav
little parrot trying to fly from it's cage ,Bats in East Finchley.wav,birdies.wav,tropicbird2.wav,grilla_garden_ambience.wav,texting with i-phone.wav,tile-scrape-flange1.wav,single bird.wav,Through Slime.wav,stretch .wav,trolley wheels foley-mg.wav
a person is working with the utensils faster at the last ,butter_toast_2x.wav,Metal coat hanger on steel hook.wav,md3trk14.wav,soda can_pop.wav,Washing Dishes in Kitchen Sink_1-2.wav,Chopping mushrooms vigorously.wav,metallic scratches an rubs.wav,Gun Cleaning.wav,Glasses Kitchen_IO.wav,Setting Class on Table_02-01.wav
a man speaking while onboard of a plane ,acent.wav,Street Interview.wav,Antonio Casquez - Canvis.wav,Robot Overlords Monologue.wav,Guitar Center employees self-recording 24 bit.wav,Street Interview - shorter version.wav,Scratching Hair.wav,gaunermarkt_werbung.wav,CFX-20130331-UK-DorsetHarbour05.wav,elvis_radio_announcer_no_static.wav
high speed vehicles pass by muffled cheers in the background ,spaced.wav,Oxford Cambridge boat race 2010.wav,F-1-race-cars-restart-1stLap-Turn11-DR081.wav,Darkness Of the mind.wav,5_Navy-Blue-Angels-jets_CLIP.wav,traffic from inside an apartment.wav,car coming 1.wav,08-Bakken_RacingCars.wav,traffic_night_street.wav,car_pass_02_070812.wav
heavy rain is slowing down in rainy season ,Heavy Rain tin roof.wav,City Traffic in the Rain.wav,washing_out_5_gallon_bucket.wav,Rain 02 091012.wav,TONE pink noise  44.1 16bit.wav,Kaituna.wav,Wasserfall 2.wav,Stream 5 at Krka falls.wav,Waterfalls_00212.wav,Wind in trees-force8-night.wav
a gun is being reloaded and cocked severally ,04122 metallic cinematic hits.wav,ThreeFireworks.wav,strange sounding firework rocket explosions.wav,Door pounding - increasing intensity.wav,echo_ljubljana_castle.wav,fist bang 2.wav,clang_metal_(hit).wav,fireworkslong2.wav,object falls on wood.wav,Tortured Apple 02.wav
it is working machine or cutting and it is that the wood cutting ,sd_coffee3.wav,Filing Nail.wav,Chainsaw_4.wav,dremmel-noise2.wav,25_MIXER.wav,Chainsaw_1.wav,Chainsaw_2.wav,plants-watering.wav,butter_toast_2x.wav,RC Helicopter Wind Blowing.wav
rocks large and small of all various sizes are hitting a tin bucket ,clang_metal_(hit).wav,"Iron gate, street.wav",clunks_in_water.wav,Gas Door.wav,metallic scratches an rubs.wav,Eating a TicTac.wav,object falls on wood.wav,safe deposit box lock-unlock.wav,trolley wheels foley-mg.wav,water jugs.wav
three loud then the noise changes and pauses before stopping ,97315__Robinhood76__01706_wounded_jungle_animal_Before-After.wav,PlanetaryAndXporterSingleLoop_STTOS_recreated.wav,breath003.wav,LargeStuckDoorHallway.wav,city_traffic_day.wav,25_MIXER.wav,sdaviau2.wav,Boulevard with motorbike.wav,Car by slow Acura DonFX.wav,motors-moteurs.wav
the bell rang once and producing vibrating sound ,20060729.lid.wav,THAI GONG3.wav,templebell.wav,metal-bowl-long-decay.wav,More Bells.wav,Bell 6inch away.wav,KMC_Bell_Ring_01.wav,Bell Ring.R.wav,Bell7.wav,bikebell.wav
a person is crunching down over and over again on something outside like leaves or snow ,footsteps_pebble_each_01.wav,Pills .wav,Talll Grass Hits 2.wav,160170_Gravel_OWI.wav,plastic foil (outdoor recording).wav,gravel walking.wav,Melon Stabs (Juicy).wav,Footsteps on Crunchy Snow.wav,Tissue Paper .wav,Footsteps Dirt 02.wav
rain falling fast and loud consistently outside against a window ,Heavy Rain tin roof.wav,Rain 02 091012.wav,Wasserfall 2.wav,Stream 5 at Krka falls.wav,Waterfalls_00212.wav,Wind in trees-force8-night.wav,TONE pink noise  44.1 16bit.wav,forestandocean.wav,Sea Waves Splash the Beach on the Isle of Wight Coast.wav,fdv_gouttes_de_pluie.wav
a man and woman are holding a conversation among a crowd of people ,Carmel Market.wav,Amusement Park (Ambience).wav,korea_flohmarkt.wav,Quiet Chat.wav,Portugese Fish Market.wav,market1.wav,SR005F.wav,TC.Balcarce08..CarRevving.2.wav,shopper_atmos.wav,In_a_que01.wav
a person wearing heels is walking on the street ,walking 1.wav,Footsteps on Slushy Cement.wav,footsteps_pebble_each_01.wav,20060129.scrub.04.wav,horse in woods 130213_00.wav,footsteps-gravel-birds.wav,foley footsteps walking in room indoors.wav,Footsteps Dirt 02.wav,Walking on Wood Floor.wav,screenplayTheater__footsteps_leatherSoles-onWood.wav
men talk as a machine works the machine becomes louder and one man shouts over it ,Guitar Center employees self-recording 24 bit.wav,CafeAmbience.wav,Antonio Casquez - Canvis.wav,2 Subway Nice Place to Live.wav,acent.wav,Robot Overlords Monologue.wav,"09-07-11_0653_Bolhao early morning, truck gets unpacked.wav",RomaBenzinaioGas_viaPomonte.wav,UoA_NuLibraryGlassLift_1202.wav,Letter B BINGO in Arlington Heights.wav
beating with hammer or like the object harder ,Popcorn Foley.wav,clang_metal_(hit).wav,Mascara.wav,trolley wheels foley-mg.wav,various slap takes.wav,Through Slime.wav,Tortured Apple 02.wav,DVD Cases.wav,Remove crashed glass.wav,abandoned-ballroom-objects-wood-metal.wav
a vehicle moving at a very high speed on a tarmac road ,traffic from inside an apartment.wav,City Traffic in the Rain.wav,washing_out_5_gallon_bucket.wav,german motorway or the autobahn.wav,rios_barney_geo_fonia_contra_el_viento.wav,spaced.wav,WasherEndWashCycleStartSpinCycle.wav,WASHER machine 2.wav,WM_drain_pre_spin_cycle_24_96_mono.wav,"Helicopter interior, no rotor.wav"
a water tap is open and it fills into a container and then the tap is open more ,Peeing into toilet.wav,WATER DRIP 2 ECHO LOW PITCH.wav,Tap_Water.wav,"Water - Leak, small.wav",Tap Water Open.wav,bathroom_water_tap_on_fill_off_drain_24_96_stereo.wav,lavar platos.wav,Dribbling water Edited.wav,gully with water drips.wav,sink1.wav
a wooden table is scratched six times continuously ,Setting Class on Table_02-01.wav,settingdownglassbottle.wav,Ball bouncing.wav,Twist Off Bottle Cap.wav,14-Nails Scratching-consolidated.wav,metallic scratches an rubs.wav,20150330_11.wooden.floor.night.MS.wav,RowanMagennis_160019_SD100_DeadBodyHitsWoodenFloor.wav,ouverture-contenair_1.wav,foley footsteps walking in room indoors.wav
a person opens a door and walks down a hallway they enter an elevator while in the elevator they sigh ,redbarn_feeding-horses.wav,Footsteps on Wood floor 1.wav,20091226.squeaky.door.wav,elevator 001.wav,A000051_6.wav,Walking on Wood Floor.wav,Walking Downstairs.wav,Elevator Ride and Door Open Merchants Bldg.wav,20150330_11.wooden.floor.night.MS.wav,20150712_underground.parking.wav
a man and woman are holding conversation while running then start to walk ,Footsteps on Hard Floor.wav,maastricht town sounds.wav,Outside Library.wav,horse in woods 130213_00.wav,20091217.20.pedestrians.wav,UoA_Kcq_voices2_120224.wav,Footsteps on Slushy Cement.wav,DallasWorldAquarium01.wav,SR005F.wav,Clothing Rubbing Foley Sound.wav
metal pieces are scraped to one side a person takes a few steps then the metal is scraped again ,kitchen indoor atmosphere.wav,Sound_FX_Kitchen_Kniifes and forks.wav,Opening and Closing Curtains - Slow.wav,Coming into a hospital in saturday.wav,20091226.squeaky.door.wav,Blinds being opened and closed quickly and slowly.wav,Brushing Hair.wav,PS3F_FOZ_centro_Mufato_carrinhos_tarde.wav,butter_toast_2x.wav,entering shower moving curtain raffle raffling foley VARIOUS TAKES.wav
traffic driving through water with loud rushing and splashing ,tata_hungary__ady_endre_road_20080718.wav,traffic_night_street.wav,german motorway or the autobahn.wav,Highway Traffic_1-2.wav,City Traffic in the Rain.wav,city_traffic_day.wav,car coming 1.wav,AMB_Ext_Night_Residential_001.wav,washing_out_5_gallon_bucket.wav,Japan_Yukinoura_Bamboo_Forest_and_Road_.wav
a person continues to pickup and set down an item on a table ,Setting Class on Table_02-01.wav,settingdownglassbottle.wav,kitchen indoor atmosphere.wav,ouverture-contenair_1.wav,metallic scratches an rubs.wav,Rolling Chair.wav,20150330_11.wooden.floor.night.MS.wav,butter_toast_2x.wav,A000051_6.wav,soda can_pop.wav
light static noise with four knocks on wood and a drawer opening and closing twice ,RowanMagennis_160019_SD100_DeadBodyHitsWoodenFloor.wav,fist bang 2.wav,150209 Trevor Webb Snooker.wav,closing washing machine.wav,Setting Class on Table_02-01.wav,Auto_Door_Open_Close.wav,settingdownglassbottle.wav,Opening Closing old oven.wav,newport-hotel-door-slam.wav,20150330_11.wooden.floor.night.MS.wav
a door bangs and a person start crunching an apple fruit ,coffee Elite opening.wav,cat food.wav,Fire Crackle with Roaring Chimney.wav,walking on lava.wav,Pecan nuts cracked open.wav,Through Slime.wav,Microwave1.wav,Stones sound.wav,160170_Gravel_OWI.wav,WaterDrops.wav
a railroad crossing is alarm is running as a train horn blows in the distance ,Train Passing Grade Crossing.wav,train_coming_in.wav,crossing bells.wav,tram_night_crossroad_stop_go_02.wav,ship horn.wav,tram turn.wav,md9trk2.wav,23_train_jallandhar.wav,kamakura_train.wav,MetroTrain.wav
people are hitting billiards on a billiards table ,settingdownglassbottle.wav,water jugs.wav,stenochscentre.wav,THAI GONG3.wav,Zag.canon.eda.wav,BERBER _SONG.wav,KMC_Bell_Ring_01.wav,RowanMagennis_160019_SD100_DeadBodyHitsWoodenFloor.wav,foley footsteps walking in room indoors.wav,kettle-watergong2.wav
a bird chirps in the background while a loud siren is going off ,00213 train signal bird and rain.wav,vendedor_ambulante.wav,Ambulence - WARNING LOUD.wav,Birds and Nature.wav,raindrops on metal_police background.wav,police motorcycle distance to stop.wav,Neighbourhood Ambiance.wav,STREET_AMBULANCE_01.wav,Cityscape 02 100208.wav,nightbird.wav
a group of people are talking and laughing a piece of silverware drops ,110420-001_openair_cafe_karlsruhe_Schlosscafe.wav,160718 HSN spanish fish market.wav,bruits.chute.petite.urne.gravillons.wav,CafeAmbience.wav,Pounding a metal stake with hammer v2.wav,Busy Dining Room Atmos.wav,Tool Box.wav,toy_tower.wav,kitchen indoor atmosphere.wav,Achter de Stekke .wav
a crowd of men and women are talking animatedly indoors and a man laughs ,Busy Dining Room Atmos.wav,In_a_que01.wav,Bar atmosphere - Not So Busy.wav,Quiet Chat.wav,lachen.wav,Carmel Market.wav,Public Place.wav,Portugese Fish Market.wav,Letter B BINGO in Arlington Heights.wav,110420-001_openair_cafe_karlsruhe_Schlosscafe.wav
heavy rain is pounding rapidly and intensely as time goes on ,Waterfalls_00212.wav,Stream 5 at Krka falls.wav,washing_out_5_gallon_bucket.wav,TONE pink noise  44.1 16bit.wav,Kaituna.wav,Heavy Rain tin roof.wav,Wasserfall 2.wav,Wind in trees-force8-night.wav,Rain 02 091012.wav,03480 static white noise.wav
